Datum;1.Hoe vaak gebruikt u internet per dag?;2.Maakt u zich zorgen over je privacy terwijl u met het internet verbonden bent.;3.Indien u zich zorgen maakt over u privacy, geef het een cijfer van 1-10;4.Indien je een account hebt op Google/Facebook/Youtube/Twitter, heb je het privacybeleid van deze sites gelezen voor je een account aanmaakte?;5.Indien u Facebook hebt, weet u wat Facebook over je verzamelt van gegevens en wat ze hiermee doen?;6.Indien u Youtube hebt, weet u wat Youtube over je verzamelt van gegevens en wat ze hiermee doen?;7.Indien u Google hebt, weet u wat Google over je verzamelt van gegevens en wat ze hiermee doen?;8.Indien u Twitter hebt, weet u wat Twitter over je verzamelt van gegevens en wat ze hiermee doen?;"9.Kent u de service &quot;Google Analytics&quot; die Google aanbiedt?";10.Welke informatie denk u dat u vrijgeeft tijdens het surfen?;11.Weet u wat een cookie is?;12.Verwijdert u regelmatig uw cookies?;13.Weet u wat cachegeheugen is?;14.Verwijdert u regelmatig uw cachegeheugen van de browser?;15.Weet u wat een MAC-adres is?;16.Weet u wat een IP-adres is?;17.Via welke brower surft u het meeste?;"18.Surft u vaak op publieke onbeveiligde netwerken (Wi-Fi), zoals bijvoorbeeld in een caf&eacute; of gewoon op straat?";19.Gebruikt u een VPN tijdens het surfen?;20.Gebruikt u bepaalde manieren om anoniemer te zijn tijdens het surfen?
24/3/2017 om 13u 42m 59s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Nee; Nee; Ja; Nee;Foto's ; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;Nee
24/3/2017 om 14u 12m 53s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Ja;locatieinteresses in producten; Ja; Geen idee; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Ja;VPN, maar enkel voor NETFLIX
24/3/2017 om 14u 32m 46s; Minder dan één uur per dag; Ja;8; Ja; Nee; Nee; Nee; Nee; Nee;0; Nee; Geen idee; Nee; Geen idee; Nee; Nee; Internet Explorer; Nee; Geen idee wat het is;neen
24/3/2017 om 15u 19m 17s; 1-2 uur per dag; Ja;7; Nee; Ja; Nee; Nee; Nee; Nee;alles wat in je geschiedenis van je surfgedrag staat (coockies); Ja; Elke week; Ja; Elke week; Ja; Ja; Google Chrome; Nee; Nee;nee
24/3/2017 om 16u 10m 43s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; ; Nee;Naam, lokatie; Nee; Geen idee; Ja; Geen idee; Nee; Nee; Internet Explorer; Nee; Geen idee wat het is;Neen
24/3/2017 om 16u 23m 33s; 1-2 uur per dag; Ja;3; Ja; Nee; Nee; Nee; Nee; Nee;Geen idee; Ja; Geen idee; Nee; Geen idee; Ja; Ja; Google Chrome; Nee; Geen idee wat het is;Nee
24/3/2017 om 16u 24m 11s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Nee; Ja; Ja; Nee;Adresgegevens en tel; Ja; Elke week; Nee; Geen idee; Nee; Ja; Google Chrome; Nee; Nee;Nee
24/3/2017 om 17u 12m 08s; 4-8 uur per dag; Ja;8; Nee; Ja; Nee; Ja; ; Nee;Interesses, locatie; Ja; Elke maand; Nee; Geen idee; Nee; Nee; Google Chrome; Ja; Geen idee wat het is;nee
24/3/2017 om 17u 13m 31s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Ja; Ja; Ja; Ja;Aangezien ik Google Chrome gebruik, gaat quasi alle informatie die in die browser aanwezig is (inclusief geschiedenis) beschikbaar zijn..; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Ja; Nee;Afhankelijk van wat ik wil opzoeken, soms inderdaad een VPN of zelfs TOR netwerk ertussen, al dan niet met proxy-hops naar buitenland..
24/3/2017 om 17u 19m 41s; 1-2 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Nee;Sites, likes, ; Ja; Elke maand; Nee; Geen idee; Nee; Nee; Mozilla Firefox; Nee; Ja;Privé modus MacBook
24/3/2017 om 17u 49m 39s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;0; Ja; Elke week; Ja; Elke week; Nee; Ja; Google Chrome; Ja; Nee;Nee
24/3/2017 om 18u 23m 38s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Ja; Ja; Ja; Ja;"1. Welke bezochte websites (o.a. via coockies); 2. content van deze websites:  interesses en hobbies (vb. moutainbiken), reislocatie (vb. aanbiedingen in de zelfde streek) zoektocht naar immobiliën (vb. huizen in de zelfde streek)3. Informatie die ik zelf vrijgeef bij aanmaken profile: leeftijd, gezinssamenstelling, ..."; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Google Chrome; Nee; Nee;nee, ik heb eerlijk gezegd weinig te verbergen en ik ben me goed bewust van het feit dat ik een beetje privacy vrij geef diensten zoals youtube en facebook gratis zijn. Dit is analog aan het kijken naar commerciële tv zenders: dan wordt je geconfronteerd met reclame.
24/3/2017 om 18u 57m 40s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; ; Nee;Locatie, zoektermen; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;Nee
24/3/2017 om 19u 23m 38s; 1-2 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Ja; Ja; Ja; Ja; Ja; Nee;0; Ja; Elke maand; Ja; Geen idee; Nee; Ja; Microsoft Edge; Nee; Nee;neen
24/3/2017 om 20u 12m 59s; 1-2 uur per dag; Ja;7; Ja; Nee; Nee; Nee; ; Nee;Adres, ; Ja; Elke dag; Nee; Geen idee; Nee; Nee; Mozilla Firefox; Nee; Geen idee wat het is;Neen 
24/3/2017 om 20u 31m 25s; 1-2 uur per dag; Ja;7; Nee; Nee; Nee; Nee; Nee; Nee;Weet het niet? ; Ja; Geen idee; Nee; Geen idee; Nee; Nee; Google Chrome; Ja; Geen idee wat het is;???????
24/3/2017 om 21u 08m 35s; 1-2 uur per dag; Ja;8; Nee; Ja; Nee; Ja; Nee; Nee;0; Nee; Geen idee; Nee; Geen idee; Nee; Ja; Internet Explorer; Ja; Geen idee wat het is;?
24/3/2017 om 21u 58m 10s; 4-8 uur per dag; Ja;6; Nee; Nee; Nee; Ja; Nee; ;IP-adres, internetgegevens, websites die ik bezoek en op welke tijdstippen, persoonsgegevens; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Safari; Ja; Geen idee wat het is;Neen
25/3/2017 om 6u 56m 19s; 4-8 uur per dag; Ja;5; Nee; Nee; Nee; Nee; Nee; Ja;-Locatie-interesses-surfgedrag -...; Ja; Elke maand; Ja; Elke maand; Ja; Ja; Mozilla Firefox; Nee; Ja;-surfen op kantoor :)
25/3/2017 om 14u 25m 29s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; Nee; Nee;Geen idee.; Ja; Elke maand; Ja; Geen idee; Nee; Ja; Safari; Ja; Nee;Neen.
